id,codigo,nomoficial,alt_izqini,alt_izqfin,alt_derini,alt_derfin,nomanter,nom_mapa,tipo_c,long,sentido,observa,bicisenda,red_jerarq,tipo_ffcc,comuna,com_par,com_impar,barrio,barrio_par,barrio_imp,geometry
1,3054,"CANTILO, INT.",0,0,0,0,,INT. CANTILO,CALLE,436.85861274258565,CRECIENTE,,,VÍA TRONCAL,Sin Iteracción,13.0,13.0,13.0,Nuñez,Nuñez,Nuñez,"LINESTRING (-58.462187566063186 -34.53451590464167, -58.462670945004014 -34.53442875790629, -58.46314533235265 -34.53434323019635, -58.46363621319229 -34.53431179471169, -58.46397223289147 -34.53432630184125, -58.46450402105386 -34.53436498713446, -58.46505626416272 -34.53445444962748, -58.46553838307943 -34.534568091787875, -58.466601736865805 -34.534939125335825, -58.46678379560394 -34.535002649404596)"
2,12152,"LUGONES, LEOPOLDO AV.",0,0,0,0,,AV. LEOPOLDO LUGONES,AVENIDA,295.58086650158873,CRECIENTE,corrección nombre 9-1-03,,VÍA TRONCAL,Sin Iteracción,13.0,13.0,13.0,Nuñez,Nuñez,Nuñez,"LINESTRING (-58.46514781908041 -34.5346537833613, -58.464959496502196 -34.534629489651266, -58.46476334505705 -34.53460773102281, -58.4645186028478 -34.53459350798343, -58.46440942218602 -34.534602734619085, -58.46431581448325 -34.5346151301261, -58.46418791236658 -34.53464048390308, -58.463686515223316 -34.534810279718826, -58.46344636812021 -34.53491633936875, -58.46333471908434 -34.53497021410646, -58.46324689748662 -34.53501091939436, -58.463161458562595 -34.53505099080211, -58.46307848739012 -34.53510028774862, -58.46294964784316 -34.53518028954633, -58.462307913640366 -34.535634523271256)"
3,17041,"PAZ, GRAL. AV.",2,300,0,0,ZUFRIATEGUI(PARCIAL),AV.GRAL PAZ,AVENIDA,145.47478586459928,DECRECIENTE,,,VÍA TRONCAL,Sin Iteracción,13.0,13.0,13.0,Nuñez,Nuñez,Nuñez,"LINESTRING (-58.46561093444613 -34.53507012444892, -58.465767943878525 -34.53516012373912, -58.46586095932405 -34.53524695508765, -58.46597593031819 -34.53532963084649, -58.466116601524654 -34.5354160383981, -58.466338798589014 -34.535523359825596, -58.466506872184354 -34.535604202714126, -58.46661265298602 -34.535671384746706, -58.466760565799966 -34.535925542216425)"
4,12107,DEL LIBERTADOR AV.,0,0,0,0,"DEL LIBERTADOR GENERAL SAN MARTIN, Av.(parciales :",AV.DEL LIBERTADOR,AVENIDA,10.152598500673825,DOBLE,,,VÍA DISTRIBUIDORA PRINCIPAL,Sin Iteracción,13.0,13.0,13.0,Nuñez,Nuñez,Nuñez,"LINESTRING (-58.466760565799966 -34.535925542216425, -58.46680762229164 -34.53584272180944)"
5,3054,"COLECTORA CANTILO, INT.",0,0,0,0,"CANTILO, Int.",Colectora INT. CANTILO,CALLE,78.55111673329424,CRECIENTE,Agregado en el nombre de Colectora por ser parte de un sector diferenciado del de la Autopista (Mayo 2014),,VÍA LOCAL,Sin Iteracción,13.0,13.0,13.0,Nuñez,Nuñez,Nuñez,"LINESTRING (-58.46065372135129 -34.53511662698663, -58.460797831814894 -34.53498816675119, -58.46100614500185 -34.53470884150079, -58.461102587371734 -34.53452049548287)"
6,12003,LA CACHILA,8602,8700,8601,8699,,LA CACHILA,CALLE,119.69603656473721,PJE. PRIVADO,Pasaje de Circulación Privada,,VÍA LOCAL,Sin Iteracción,13.0,13.0,13.0,Nuñez,Nuñez,Nuñez,"LINESTRING (-58.46502726359528 -34.536034948083625, -58.46561093444613 -34.53507012444892)"
7,23016,VEDIA,1602,1620,1601,1619,,VEDIA,CALLE,43.73858249078506,CRECIENTE,"Según Resolución Nº 373/SSTRANS/15 aparecida en el Boletín Oficial 4640 del 19/05/2015, Vedia asignación de sentido NE a SO desde Del Libertador hasta 11 de Septiembre - Prórroga según Res Nº 651/SSTR",,VÍA LOCAL,Sin Iteracción,13.0,13.0,13.0,Nuñez,Nuñez,Nuñez,"LINESTRING (-58.46680762229164 -34.53584272180944, -58.46720972641727 -34.53605419399296)"
8,17041,"PAZ, GRAL. AV.",302,400,0,0,ZUFRIATEGUI(PARCIAL),AV.GRAL PAZ,AVENIDA,89.68114676073733,DECRECIENTE,,,VÍA TRONCAL,Sin Iteracción,13.0,13.0,13.0,Nuñez,Nuñez,Nuñez,"LINESTRING (-58.46720972641727 -34.53605419399296, -58.467348432077564 -34.535918552130504, -58.46759990115368 -34.53592607894341, -58.46806514945492 -34.53610000987763)"
9,23016,VEDIA,1622,1700,1621,1699,,VEDIA,CALLE,78.26452285831536,CRECIENTE,"Según Resolución Nº 373/SSTRANS/15 aparecida en el Boletín Oficial 4640 del 19/05/2015, Vedia asignación de sentido NE a SO desde Del Libertador hasta 11 de Septiembre - Prórroga según Res Nº 651/SSTR",,VÍA LOCAL,Sin Iteracción,13.0,13.0,13.0,Nuñez,Nuñez,Nuñez,"LINESTRING (-58.46720972641727 -34.53605419399296, -58.46780263160793 -34.536366223959114, -58.46793054025062 -34.53643086874658)"
10,16025,11 DE SEPTIEMBRE DE 1888,4802,4900,4801,4899,11 DE SEPTIEMBRE,11 DE SEPTIEMBRE DE 1888,CALLE,38.72820076764663,DECRECIENTE,,,VÍA LOCAL,Sin Iteracción,13.0,13.0,13.0,Nuñez,Nuñez,Nuñez,"LINESTRING (-58.46793054025062 -34.53643086874658, -58.46806514945492 -34.53610000987763)"
